,tunes
0,"F,2D2EDF2A2B2d4|BdB2e2d2G2A2FEA2|D2E2AG2AF4G4|B4G2E2D4E,2F,2|D2E2F2E2E2F2A2F2|F2B2DE3GF3B3d|d2fgg2e2de2fg2e2|f2e2d4d2G2FED2|F,2D2D2FEA2B2d2Bd|B4e2d2G3AE2G2|DF,E2GFG2E3FG2AG|d2B2G2E2E2D2F,4|F,2AGBdBAG2A2E2d2|B2A2A3BB2d2d2ed|g4g2f2e2fgf2e2|e2dBA3BA3dg2f2"
1,A2G2G2A2F2B2d2A2|G4A2G2d2B2A2dB|B2A2A4A4B2A2|d2g2f2BdBA3BAd2|A2G2AGA2F2B2d2BA|A2G2A2G2d2B2A2d2|B2A2A4A2B2B4|d2g2f2B2B2A2A2d2|B4B4B2d2f2d2|B4B2A2d2B2A2Bd|B2A2B2G2B2d2d2B2|d2g2f2d2B2A2B4|B4B4B2d2f2d2|B4B2A2d2B2A2B2|B4A2dBB2d2d2B2|d2g2f2d2B2A2ABAB
2,"E2FGG2E2AGA2B3d|G2B2B2d2d4AGBd|A2BAA2G2E2F2A2d2|d2f2e2d2A2E2F2A2|fe2dAB2dG2F2AG3|GA2GB2AGF4FGEF|F2GAG4E4G2A2|AGEFG2AGA2FEBdEF|DF,D2F3EFGBAA2B2|G2d2B2d2d3BG2B2|A4GAG2E4A2d2|def2d4B2F2BAD2|ededGABAABE2F,2D2|G2E2B2E2D4E2DF,|FG3A2G2E2FGA2B2|B2FGA2d2dB3dBF2"
3,"E,F,3F,4D4F2G2|F2D2D4E4D2G2|D4D2EDE4D2ED|A2B2B2ABFGF2F2F,D|F,4F,4D4EFG2|F2B2D2F2E2F2AGED|D2E2DED2E4D2E2|D4D4EFF,2D2F,2|F,4F,4D4E2G2|F2D2D4E3FD2GF|D4D4E3DD2E2|GAB2BA3G2FGGFE,F,|F,4F,4D4E2GF|FE3D2EFED2Ed2FE|DEFGE2D2E2F2DEFE|DED2D4D4E2DE"
4,"F,2D2D2E2D4D4|D4E4F4F4|E2D2DF,E2D4E2D2|E2DEE2D2F,DF,2F,4|F,2EDD2E2D4D4|D4E4G2F2F4|B2d2fefef2e2d2B2|A4F2E2D2E2D2E2|F,DE2D2E2D4D4|D4E4G2F2F4|E2D2F,2E2D4E2D2|D4E3DF,4F,4|F,2E2D2E2D4D4|D4E3FG2F2F2GF|B2d2e2f2g2f2B4|A4G2E2D4D3F,"
5,"E4F4D4D4|E2F2G4E4F,2D2|E,2F,2DF,D2D4E4|B2GFG2E2GFEFG2A2|D2F2F4F2D2D4|E2FGG3FF2E2F,2D2|D2G2A2G2A2dBBAE2|D4D4D2E2E4|E4F4D4D4|D2F2G2FGE4F,2D2|E,2F,2D4D4E4|B2F2G2F2G2EFG2A2|D4E2DEE2D2D4|E2F2G3FE4F,2D2|D2EFGFEFFGABA2ED|D4E2D2E2FEG2A2"
6,"D2d2d4B2A2F2AG|D2F2A2G2G2F2E2FE|F,2E2AGEFG2F2E2D2|E4GAGFA2D2D4|D2d2d4B2A2F2A2|D2G2A2G2G2F2E2FE|F,2F2FEGFB2e2e4|e2d2A2G2G2D2D4|D2d2d4B2A2F2A2|D2G2A2G2G2F2E2F2|F,2E2A2E2G2F2E2D2|E4A2G2A2D2D4|D2d2d4B2A2F2A2|D2G2A2G2G2F2E4|F,2EFEDGABd3f2e2|e2d2B2A2G2D2D4"
7,"E4A2B2BA3A2B2|B4f2e2A2F2E2F2|G2F2B2A2d2A2A2G2|A4A2E2D2E2D4|DE3A2B2B2A2A2B2|B4f2e2ABF2E2F2|G2F2B4d2A2A2G2|A4A2E2D2E2D4|G2E2E2F2F2A2B4|AG3BdB2A2F2E2F2|A2F2E2F2GA3A2FG|A2B2A2E2D2E2D2E2|G2E2E2F2F2A2B4|AG3BdB2A2F2E2F2|A2F2E2F2A4A2G2|A4A2E2D2E2F,2DF,"
8,"B2d2d2e2B4B2d2|B4F3EF,DE2E2D2|F,4D2F2F2A2F2A2|F2B2e2f2e2d2A2FG|B2d2d2e2B4B2d2|B4F4D2E2E2D2|F,4D2G2d4d4|d2B2d2A2d2B2e2f2|Bd3d2e2B4B2d2|B4F4D2E2E2D2|F,4D2F2G2ABF2A2|F2B2e4e2dBBAD2|B2d2d2e2B4B2d2|B4F4D2E2E2D2|F,4D2F2d2B2d4|d4d4A2GFd4"
9,"G2F2F2E2D4F,4|F,2D2D2F,2F,4E,4|F,2D2E2D2D2E2D2F,2|F,4D2E2D4D3E|G2F2F2E2D4F,4|F,2D2D2F,2F,4E,4|F,2D2E2D2D2E2D2F,2|F,4D2E2F,D3E2F2|G2F2F2E2D4F,4|F,2E2D2F,2F,4E,4|F,2D2E2D2D2E2D2F,2|F,4D2E2D4D3E|FGF2F2E2D4F,4|F,2E2E2F,2F,4E,4|F,2D2E2D2D2E2D2F,2|F,4DF,D2F,4F,2D2"
10,"A2E2GAD2D4F,4|D2G2G2D2D4E,4|F,2D2EDF,2E2F2G2D2|D2FEABA2F2G2A2B2|FEF2G2D2D4F,4|D2G2G2D2D4E,4|G2D2D2E2GAB2BAF2|EFD2A2G2D2E2F2G2|G2E2A2D2D4F,4|D2G2G2D2D2F,2E,4|F,2D2E2F,2EDEFFGD2|D2E2A2G2F2G2A2Bd|G2F2ABD2D4F,4|D2G2G2D2D4E,4|GFD2D2G2AB3B2E2|EDGAG2E2D2E2B2d2"
11,D2A2G2A2B4A2B2|d2B2B2d2B2A2G4|A2F2GFA2d2A2B2E2|e4d4G2A2E4|D2A2AGA2B4B4|d2B2B2d2B2A2A2G2|A2G2F2A2d4F2A2|D2EFE2D2FG3d2e2|EFd2B4B4A2B2|d2B2B2d2B2A2A2G2|A2G2G2A2d2B2B2E2|e2ded2B2G2A2G4|E2d2B4B4AB3|d2B2B2d2B2A2A2G2|A2G2G4d2B2G2A2|GFE2EFD2E3FGF3
