,tunes
0,A4A2B2A4A2d2|A2G2GFA2G2F2E2D2|E4F2G2F2E2GFd2|B4BdG2B2A2A4|A2B2AG3A4A2d2|A2G2F2A2G2F2F2E2|B2d2d4B4FGA2|AB3G4F4E2F2|GAB2G2A2A4A2d2|A2G2G2A2G2F2E2D2|E4F4F2E2GFB2|d4B2AGB2A2AGA2|A2E2G2AGA4A2d2|A2G2G2A2G2F2F2E2|B3dd4A2B2A4|A2F2G2F2F2E2G2A2
1,ABG2D2A2G2E2F2E2|ABF2F2A2d2B2B2d2|d2DEDEG2B2GFFE3|AGd2B2A2B2A2G4|GAE2D2FEGAEDF2E2|A2F2F2A2B4B4|d2g2f2deded2G4|G2B2G2FED4D2E2|ABF2D2A2A2D2F2E2|B2F2F2A2B4B2d2|d2D2D2G2B2E2F2E2|A2d2B4B2A2GF3|BdE2D2F2A2D2F2E2|B2F2F2A2B4B4|e2f2e2d2e2d2B2AG|A4G3FGFE2F4
2,"D4F2E2F2D2G2D2|D2F,2D4E2F2G2FE|D4A2E2G2F2GAD2|D4D4F2G2E2D2|D4F2D2F2D2G2D2|D2F,2D4E2F2G2F2|G2F2E4EFG2E2D2|D3EF,D3D2F2FED2|D4F2D2G2D2G2D2|D2F,2D4E2F2G2E2|D4A2E2G2F2A2D2|D4D4E2AGE2D2|D4F2D2F2D2G2D2|D2F,2D4E2F2G2E2|G3FF2E2FGF2GFD2|D4F,2D2E4D4"
3,"G3AF4A2G2F2E2|D2E2D2F,2F2D2D4|d2B2B2F2G2d2BAF2|F2A2F2B2G4G2F2|AG3F4A2G2F2EF|D2E2D2F,2F2D2D4|d2B2B2F2G2d2ABF2|F2A2F2ABG4A2F2|EF3E3FG2F2F2E2|D4F,4G4B2D2|G2A2A2F2G2B2BAF2|F2AGF2B2G4A4|EF3E4G2F2F2E2|D4F,4G3AB2D2|G2A2A2F2G2B2A2F2|F2G2F2A2G4B2DE"
4,B2A2d2e2d2B2B2d2|E2G2A4DE3F2A2|B2d2B2d2B2A2A2B2|G2D2F2A2d2A2A4|B2A2d2e2d2B2B2d2|E2G2A4D2E2F2A2|G2FGG2A2A4G2A2|A2E2G2ABG2F2G3A|B2A2d2e2d2B2B2d2|E2G2A4E4F2A2|B2d2d4B2A2A2B2|G2D2F2A2d2A2A4|B2A2d2e2d2B2B2d2|E2G2A4E4EFA2|B4B2A2A4G2A2|B2G2G2A2G4GFG2
5,"D2E2F4D2F,2D4|F,2B2A4G2E2D4|D2E2E2FED3EF2G2|GAd2A2d2A2D2E4|DF,E2F4D2F,2D4|F,2ABA4F2E2D3E|D2E2E4D2E2F2G2|A2d2A2d2A2D2E2DE|d2B2E2GAB2dBA4|GFG2E2F2B2d2e2A2|G2A2d2e2B2dedeG2|B2A2G2d2G2D2D2GF|BdB2E2G2B4A4|GFG2E2F2B2d2e2B2|e2dBde3B2d2deA2|B2A2G2d2F2D2EDF,2"
6,g4g4g2f2Bdf2|g4g4g2e2e2g2|d2feA2f2A2B2EFd2|g2f2f4f2e2g4|g4f4g2f2f2Bd|g4g4f2e2e2g2|d3ee2g2g2f2g4|g4g2f2A2FEG2f2|g4f3gg2f2d2f2|g4g2f2f2e2d2g2|B2e2ABe2A2GAEFe2|g2f2f4f2d2f2g2|g4g4f2g2f2g2|g4g3ff2e2d2g2|d2e2B2g2g4g4|g4f4d2F2e2d2
7,B2A2D2G2d2e2d2B2|A4F2E2D2E2E2GF|f2ded2ABd2B2B2AB|d2e2e4e4ede2|f4e2d2ede2d2BA|A4F2E2D2E2E2G2|d4deB2d2B2B4|d2e2A2G2G2B2A4|GAEFD2EFB2d2d2B2|A4F2E2D2E2E2F2|f2e2e2B2d2B2B2A2|d2f2e2f2f4e4|g2edfe3e4d2B2|A4F2E2D2E2E2F2|e2d2d2B2d2B2B2A2|d4A2F2D4EDED
8,d3BA2G2B3AB2F2|B3AA4d4e2d2|A4B2d2A4dBG2|e2B2A4A2F2E2F2|d2BdA2G2B4B2F2|BdA2A4d4ed3|A4B4A4B2GF|deB2A2BAA2FGF3G|AGE2A4d2A2f2d2|AGd2gfd2A2F2A4|G2d2BdA2GFA2d2f2|e4e2d2GA3G4|GAE2A4deA2f2d2|G2d2fgd2A2F2BA3|ABe2e2d2e2f2f2g2|d2B2e2BdGABdBde2
9,e4Bd2Bf4e2f2|g4edededB2d4|f2e2G2B2A2G2B2d2|e2f2f4g4g4|gfg2f4g2f2g2AB|Bd3e2d2d3Be2B2|D2EDe4e4e2f2|g4g2fgfgf2dBd2|e4Bd2ef4f4|g4e2d2e2A2d2e2|f2e2A2d2A4A2d2|e2f2f4g2f2g2f2|g4g2f2f2g2g2f2|d2g2e2d2ed3d2G2|FE3d2e2fe3f2g2|g4f2e2d4e4
10,"F,2D2D2E2A2G2F4|F,4D2F2E2D2F,2E,2|F,4E2FEFGABA2B2|E2D2G2A2d2AGGF3|F,2D2D2E2A2G2F4|F,4D2EFE2D2F,2E,2|F,3DE3FEDF2E2FE|A2G2G4D2G2B2F2|g2f2d4d2B2G2B2|E4E2F2F2E2D4|E2B2d4d4A4|E2D2ABA2d2B2A4|f4d4d2B2G2B2|E4E2F2F2EFD4|D4FGE2E2G2FEFE|B2d2F2BdD2F,2F,4"
