,tunes
0,A4A2B2A4A2d2|A2G2G^FA2G2^F2E2D2|E4^F2G2^F2E2G^Fd2|B4BdG2B2A2A4|A2B2AG3A4A2d2|A2G2^F2A2G2^F2^F2E2|B2d2d4B4^FGA2|AB3G4^F4E2^F2|GAB2G2A2A4A2d2|A2G2G2A2G2^F2E2D2|E4^F4^F2E2G^FB2|d4B2AGB2A2AGA2|A2E2G2AGA4A2d2|A2G2G2A2G2^F2^F2E2|B3dd4A2B2A4|A2^F2G2^F2^F2E2G2A2
1,ABG2D2A2G2E2^F2E2|AB^F2^F2A2d2B2B2d2|d2DEDEG2B2G^F^FE3|AGd2B2A2B2A2G4|GAE2D2^FEGAED^F2E2|A2^F2^F2A2B4B4|d2g2deded2G2G2|G2B2G2^FED4D2E2|AB^F2D2A2A2D2^F2E2|B2^F2^F2A2B4B2d2|d2D2D2G2B2E2^F2E2|A2d2B4B2A2G^F3|BdE2D2^F2A2D2^F2E2|B2^F2^F2A2B4B4|e4d2e2d2B2AG|A4G3^FG^FE2^F4
2,D3D^F2EE^F2DDG2DD|D2^F2D4E2^F2G2^FE|D4A2E2G2^F2GAD2|D4D4^F2G2E2D2|D4^F2D2^F2D2G2D2|D2^F2D4E2^F2G2^F2|G2^F2E4E^FG2E2D2|D3E^FD3D2^F2^FED2|D4^F2D2G2D2G2D2|D2^F2D4E2^F2G2E2|D4A2E2G2^F2A2D2|D4D4E2AGE2D2|D4^F2D2^F2D2G2D2|D2^F2D4E2^F2G2E2|G3^F^F2E2^FG^F2G^FD2|D4^F2D2E4D4
3,G3A^F3^FA2GG^F2EE|D2E2D2^F2^F2D2D4|d2B2B2^F2G2d2BA^F2|^F2A2^F2B2G4G2^F2|AG3^F4A2G2^F2E^F|D2E2D2^F2^F2D2D4|d2B2B2^F2G2d2AB^F2|^F2A2^F2ABG4A2^F2|E^F3E3^FG2^F2^F2E2|D4^F4G4B2D2|G2A2A2^F2G2B2BA^F2|^F2AG^F2B2G4A4|E^F3E4G2^F2^F2E2|D4^F4G3AB2D2|G2A2A2^F2G2B2A2^F2|^F2G2^F2A2G4B2DE
4,B2A2d2e2d2B2B2d2|E2G2A4DE3^F2A2|B2d2B2d2B2A2A2B2|G2D2^F2A2d2A2A4|B2A2d2e2d2B2B2d2|E2G2A4D2E2^F2A2|G2^FGG2A2A4G2A2|A2E2G2ABG2^F2G3A|B2A2d2e2d2B2B2d2|E2G2A4E4^F2A2|B2d2d4B2A2A2B2|G2D2^F2A2d2A2A4|B2A2d2e2d2B2B2d2|E2G2A4E4E^FA2|B4B2A2A4G2A2|B2G2G2A2G4G^FG2
5,D2EE^F3^FD2^F^FD3D|^F2B2A4G2E2D4|D2E2E2^FED3E^F2G2|GAd2A2d2A2D2E4|D^FE2^F4D2^F2D4|^F2ABA4^F2E2D3E|D2E2E4D2E2^F2G2|A2d2A2d2A2D2E2DE|d2B2E2GAB2dBA4|G^FG2E2^F2B2d2e2A2|G2A2d2e2B2dedeG2|B2A2G2d2G2D2D2G^F|BdB2E2G2B4A4|G^FG2E2^F2B2d2e2B2|e2dBde3B2d2deA2|B2A2G2d2^F2D2ED^F2
6,g4g4g2Bd|g4g4g2e2e2g2|d2eAA3BBE^Fdd|g2e2g4|g4g2Bd|g4g4e4g2|d3ee2g2g4g2|g4g2A2^FEG2|g4g3dd|g4g2e2d2g2|B2e2ABe2A2GAE^Fe2|g2d2g2|g4g4g4|g4g3eed2gg|d2e2B2g2g4g4|g4d2^F2e2d2
7,B2A2D2G2d2e2d2B2|A4^F2E2D2E2E2G^F|ded2ABd2B4AB|d2e2e4e4ede2|e2d2ede2d2BA|A4^F2E2D2E2E2G2|d4deB2d2B2B4|d2e2A2G2G2B2A4|GAE^FD2E^FB2d2d2B2|A4^F2E2D2E2E2^F2|e4B2d2B4A2|d2e2e4|g2ede4e3ddB2|A4^F2E2D2E2E2^F2|e2d2d2B2d2B2B2A2|d4A2^F2D4EDED
8,d3BA2G2B3AB2^F2|B3AA4d4e2d2|A4B2d2A4dBG2|e2B2A4A2^F2E2^F2|d2BdA2G2B4B2^F2|BdA2A4d4ed3|A4B4A4B2G^F|deB2A2BAA2^FG^F3G|AGE2A4d2A2d2|AGd2gd2AA^F2AA3|G2d2BdA2G^FA2d2|e4e2d2GA3G4|GAE2A4deA2d2|G2d2gd2AA^F2BA3|ABe2e2d2e2g2|d2B2e2BdGABdBde2
9,e4Bd2Be2|g4edededB2d4|e2G2B2A2G2B2d2|e2g2g4g2|g4g3AB|Bd3e2d2d3Be2B2|D2EDe4e4e2|g4g4dBd2|e4Bd2e|g4e2d2e2A2d2e2|e2A2d2A2A4d2|e2g2g2|g4g4g2|d2g2e2d2ed3d2G2|^FE3d2e2e3gg|g4e2d2d2e2e2
10,^F2DD3EEA2GG^F3^F|^F4D2^F2E2D2^F2E2|^F4E2^FE^FGABA2B2|E2D2G2A2d2AGG^F3|^F2D2D2E2A2G2^F4|^F4D2E^FE2D2^F2E2|^F3DE3^FED^F2E2^FE|A2G2G4D2G2B2^F2|g2d2d4B2G2B2|E4E2^F2^F2E2D4|E2B2d4d4A4|E2D2ABA2d2B2A4|d4d2B2G2B2|E4E2^F2^F2E^FD4|D4^FGE2E2G2^FE^FE|B2d2^F2BdD2^F2^F4
