,tunes
0,d4e3dg4dea2|e2d2d4d2fgB2d2|e2d2f2d2f3ga2d'2|d'4d'bd'bg2fge2d2||d4e4fg3dea2|e2d2d4d2fgB2d2|e2d2f2d2f3ggad'2|d'4d'bd'bg2fgg2f2||d'3bd'2a2d'4d'2b2|d'4d'2a2g2f2d4|g2b2d'2a2d'2bd'd'4|d'4b2g2g2e2e2a2||d'3bd'2bad'4d'2bd'|d'4d'2bag2f2d4|g3aa3gbd'a2d'4|d'4b2g2g2e2d4
1,fgf2g2e2f2a2b2d'2|d'4d'2age2gad'3e'|d'2g2gag2efa2d'2g2|a4d'2ded2e2A2a2||f3gg2e2f2gaad'3|d'4d'2bagfgad'3e'|d'2gfgad'2e'2babagf|eg3d2a2d3eB2d2||b2g2d'3ag2eged2B|gfd2e2aga2g2g2a2|bad2ede2efe2fged|g2f2f2e2d4d4||abg2d'3afgfge2dB|fgd2egagd'e'g2fga2|d'2e2fea2a3gabg2|e2f2f2d2g2a2g4
2,G2A2A2G2E3FG2F2|EDE2GFG2A2E2G2F2|E2G2E2G2FGE2F2D2|E2G2F2D2E2D2D4||G2A2A2G2E3FG2F2|D2E2G4A2E2G2F2|E2G2E2G2FGE2F2D2|E2G2E2D2E2D2D4||A2f2e2d2A4A2G2|E2A2d4ede2f2d2|d2e2f2d2B2d2d2BA|FG3G2E2E2D2D4||A2f2e2d2A4A2G2|E2A2d4d2e2g4|g2d2e2d2e2d2d4|G3AF2E2E2D2D4
3,G2d2d4g2d2e4|efd2fefgg2e2d4|A2B2d4ede2g3a|a2g2d4B4E2A2||G2d2d4g2d2e4|e2d2e2f2g2e2d4|A2B2d4ede2g4|a2g2d4B2g2d2e2||bd'a2d'2a2d'2agg2a2|g2e2e2feg2e2f2e2|g2a2d'3bb2a2d'3b|d'2baa2g2g4g2d'b||bd'a2d'2agd'2g2g2a2|g2e2e3fg2eff2e2|g2a2d'2a2bd'3d'4|d'2baa2g2abd'2abg2
4,d2A2G2A2dBG2F2B2|dBF2FG3B2E2G2A2|G4G2A2d4B2d2|e2d2GAE2F2E2E4||d2A2G2A2dBG2FGAB|dBE2G4BAE2FG2A|G4G2A2d3BB2d2|e2d2AGE2F2E2E4||d4d4dBA2A2d2|d2e2e2g2f2d2d4|f2e2e2d2d2B2d4|d2B2AGE2FE3E4||d4d4dBA2A2d2|d2e2e2g2f2d2d4|f2e2e2d2d2B2d4|d2B2AGE2E4E4
5,E4E2D2D3EG2E2|A2GAA2d2d2G2FGD2|A2G2G2D2DE2DB2D2|E4F2GFD4D4||G2ABG2DED3EG2E2|G2AGA2d2d2G2F2D2|A2G2F2D2D4B2D2|E4EFG2D4D4||d4d4d2fge2d2|d2e2g2e2e4e2d2|e2d2d2e2d3eA2B2|BdA2G2d2A2G2G4||d4f2e2a2d2g2a2|e4g2e2e4e2f2|b2g2a2edd4d4|ABA2B4d2G2GFGF
6,d4e2d2d4A2d2|d2A2d2A2d2A2FG3|B3dd4d4A2GA|EFG2GAE2G4G2F2||e4e2d2d4A2d2|d2A2d2A2d2A2F2G2|A4G2A2A4A2G2|E2G2A2E2G4F4||a3bb4g2f2d4|d2e2g4a4g4|f2g2a2g2f2ded2A2|A2G2G2E2A2G2G4||a3bbd'b2g2f2d4|d2efg4ab3abd'2|d'2g2a2e2d4d4|A2G2G2E2A2GFG2F2
7,G2A2d4e4e2d2|fge2e2d2B2A2G2A2|d4e2d2e2d2g2de|f2e2e2g2e2d2d4||G2AGd4e4e2d2|f2e2e2d2B2A2G2A2|d4ef2ea2b2g2d'2|f2gfe2g2e2d2d4||g2d2e2g2a2g2de3|a2bad'2a2b2e2d4|f2d2g2fefag2a2g2|g4ef3e2d2d4||g2d2e2g2a2g2de3|a2b2d'2a2b2fed4|fg2fd2gfegf2efd2|e2f2f2g2ed3d4
8,D2E2EFE2G4B2A2|ABG2d2G2e2A2G2B2|E2F2F2E2G2A2d4|f2e2d4ABG2G4||D2E2EFE2G4B2A2|A2G2d2G2deA2G2BA|E2F2F2E2G2A2d4|fge2d4A2G2G4||d2A2A2G2d4A4|B2d2BdB2e2d2d4|d4d2A2BAdBd2e2|f4e2d2B2G2G4||d2A2A2G2d4A4|A2d2B4e2d2d4|d4d2A2A2B2d2e2|f4e2d2B2G2G4
9,d2G2G2F2D2F2E2G2|B2d2d2efg4g4|d2A2A2G2D2E2G2d2|d4a2A2A4G2g2||d2G2F2GFD2F2E2G2|B2d2d2e2g4g2fe|e2B2BdA2ED3GAd2|d4d4A2GFFGE2||d4d2e2d4A4|e2g2f2e2e2d2d2B2|d4d2e2e2d2d2A2|d2e2e2BdA2G2F2G2||d4d2e2a2d2A4|e2g2efe2e2d2dBAB|e2a2a2g2g2a2g2f2|d3ee2BAA2fge2dB
10,B2e2d2e2e2d2d2f2|g2e2d2f2g2d2ded2|G2B2B2d2d2e2feg2|g2e2d4A4B2d2||B2e2d2e2e2d2d2f2|g2e2d2efg2d2ded2|G2BAB2d2d3eefg2|g2e2d4A4B2d2||a3ga2b2d'4a3g|g2e2d2e2g2d'2a2g2|a4a2bd'b4b2a2|a2gag2f2e2d2d4||a4a2b2d'4a3g|g2e2d2e2g2d'2ag3|a4d'2bd'e'2d'2d'2a2|a2gag2f2f2gag4
